     =     Integer
int    =     keyword
num1    =     identifier
,    =     Seperator
num2    =     identifier
,    =     Seperator
large$if    =     identifier
(    =     Seperator
num1    =     identifier
>    =     Operator
num2    =     identifier
)    =     Seperator
{    =     Seperator
large    =     identifier
=    =     Operator
num1$    =     identifier
;    =     Seperator
}    =     Seperator
else    =     keyword
{    =     Seperator
large    =     identifier
=    =     Operator
num2$    =     identifier
;    =     Seperator
}    =     Seperator
